ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
148,SUCCESS,2,2,16,34,8,250000,250000,4,28,151,0,151,156,6,123,129,1936.65
150,SUCCESS,2,2,16,34,8,100000,100000,8,28,369,0,369,371,2,341,343,4131.00
74,SUCCESS,2,9,16,9,2,200000,200000,2,29,79,0,79,83,5,50,55,339.66
73,SUCCESS,2,19,16,19,2,100000,100000,1,29,78,0,78,80,3,49,52,91.66
72,SUCCESS,2,21,16,21,4,50000,50000,4,29,78,0,78,79,1,49,50,165.00
76,SUCCESS,2,30,16,30,8,250000,250000,4,29,179,0,179,184,5,150,155,2340.00
156,SUCCESS,2,30,16,30,8,200000,200000,2,29,78,0,78,82,5,49,54,333.66
155,SUCCESS,2,31,16,31,8,100000,100000,1,29,79,0,79,81,3,50,53,93.16
70,SUCCESS,2,2,16,34,8,150000,150000,4,29,121,0,121,124,3,92,95,870.00
71,SUCCESS,2,2,16,34,8,250000,250000,8,29,122,2,124,129,6,96,101,3045.00
75,SUCCESS,2,2,16,34,8,150000,150000,8,29,220,3,223,226,4,195,198,3579.00
154,SUCCESS,2,2,16,34,8,50000,50000,4,29,78,0,78,79,1,49,50,165.00
79,SUCCESS,2,14,16,14,2,200000,200000,1,30,83,0,83,87,5,53,58,186.33
163,SUCCESS,2,24,16,24,4,250000,250000,2,30,88,0,88,93,6,58,64,488.33
78,SUCCESS,2,26,16,26,4,100000,100000,4,30,129,0,129,131,3,99,102,621.66
81,SUCCESS,2,26,16,26,4,250000,250000,2,30,86,0,86,91,6,56,62,473.33
80,SUCCESS,2,31,16,31,8,150000,150000,8,30,281,0,281,284,3,251,254,4587.00
160,SUCCESS,2,31,16,31,8,100000,100000,4,30,87,0,87,89,3,57,60,369.66
161,SUCCESS,2,0,16,32,8,200000,200000,1,30,87,0,87,91,5,57,62,198.33
159,SUCCESS,2,2,16,34,8,50000,50000,8,30,129,0,129,130,2,100,101,621.00
162,SUCCESS,2,2,16,34,8,150000,150000,8,30,255,0,255,258,3,225,228,4119.00
